167,Salt Creek Headwaters,base,39596,5,5170.0,5.409,153.165825,13.76,8.74,86.4,7.91,590.4,0.44,100.0,5.82275202
168,Sager's Lake Outlet,base,39596,6,3831.0,3.069,86.9044034,15.69,9.53,98.5,8.1,613.2,0.0,200.0,0.0
169,Beauty Creek,base,39596,7,2078.0,1.258,35.6225935,13.53,8.59,84.7,7.84,624.2,0.0,100.0,0.0
170,Pepper Creek,base,39596,8,1937.0,2.419,68.4984529,14.61,9.41,94.9,8.08,648.4,0.0,100.0,0.0
171,Unnamed Tributary (Mallards Landing),base,39596,9,1872.0,1.026,29.053085,14.43,8.64,87.7,8.1,608.6,0.0,100.0,0.0
172,Butternut Springs Outlet,base,39596,10,1162.0,1.2930000000000001,36.6136832,15.31,9.09,93.0,8.24,585.2,0.0,100.0,0.0
173,Squirrel Creek,base,39596,11,1588.0,0.5579999999999999,15.8008006,18.56,10.95,119.8,8.51,655.8,2.2,100.0,3.00341618
174,Robbin's Ditch,base,39597,12,1466.0,0.43799999999999994,12.402779,13.03,8.01,78.2,7.82,660.8,9.295,300.0,9.96052297
175,Damon Run,base,39596,13,6561.0,6.835,193.545649,16.53,9.24,97.1,8.14,673.2,0.44,300.0,7.3578314
176,Salt Creek (Lenburg),base,39596,14,44335.0,51.007,1444.35741,15.2,9.24,94.4,8.16,673.2,8.8,100.0,1098.1738300000002
177,Gustafson Ditch,base,39597,15,19339.4,32.2312,912.6859584200001,12.65,10.14,97.9,7.63,673.2,17.6,100.0,995.3995110400001
178,Lake Louise Outlet,base,39605,1,1478.0,3.553,100.609757,17.37,6.0,64.2,7.37,741.0,17.6,500.0,152.991221
179,Clark Ditch,base,39605,2,2559.0,4.022,113.890359,22.68,5.5,65.4,7.71,736.0,2.2,1600.0,21.6482794
180,Unnamed Tributary (Weblos),base,39605,3,976.0,1.031,29.1946693,23.34,3.79,45.7,7.43,833.0,0.0,1500.0,0.0
181,Block Ditch,base,39605,4,469.0,1.197,33.8952659,19.96,4.54,51.2,7.39,716.0,0.44,200.0,1.28856243
182,Salt Creek Headwaters,base,39605,5,5170.0,7.726,218.77596,23.33,5.55,66.7,7.67,614.0,0.44,2600.0,8.31698689
183,Sager's Lake Outlet,base,39605,6,3831.0,6.36,180.095147,23.74,7.16,86.8,8.03,789.0,0.0,1000.0,0.0
184,Beauty Creek,base,39605,7,2078.0,1.29,36.5287326,20.17,7.39,83.7,7.86,947.0,0.0,0.0,0.0
185,Pepper Creek,base,39605,8,1937.0,3.383,95.7958934,19.94,7.51,84.7,7.9,771.0,0.44,300.0,3.64177668
186,Unnamed Tributary (Mallards Landing),base,39605,9,1872.0,1.093,30.9503138,21.97,6.02,70.6,7.96,735.0,0.88,300.0,2.35321426
187,Butternut Springs Outlet,base,39605,10,1162.0,1.3119999999999998,37.1517033,22.79,6.86,81.7,8.04,590.0,0.0,500.0,0.0
188,Squirrel Creek,base,39605,11,1588.0,0.868,24.5790232,24.33,5.32,65.3,7.7,830.0,0.44,200.0,0.934396146
189,Robbin's Ditch,base,39605,12,1466.0,1.202,34.0368501,20.87,3.85,44.2,7.42,1124.0,9.46,400.0,27.8198152
190,Damon Run,base,39605,13,6561.0,6.704,189.836142,21.48,6.32,73.4,7.71,760.0,0.0,300.0,0.0
